owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
REDLINE BREWING COMPANY LLC,REDLINE BREWING COMPANY LLC,MI-S-20140,5470 LAPEER RD,BURTON,MI,48519,GENESEE,43.17615309999999,-83.77475785014632
PORTAGE BREWING COMPANY LLC,LATITUDE 42 BREWING COMPANY,MI-S-20142,7842 PORTAGE RD,PORTAGE,MI,49002,KALAMAZOO,42.2536276,-85.57905592494048
"PEAT'S ENGLISH CIDER, LLC",,MI-S-20143,6201 RED ARROW HWY,STEVENSVILLE,MI,49127,BERRIEN,41.7903488,-86.2498923
BIG LAKE BREWING LLC,BIG LAKE BREWING,MI-S-20144,13 W 7TH STREET,HOLLAND,MI,49423,,42.828009,-86.0961055
PORTAGE BREWING COMPANY LLC,LATITUDE 42 BREWING COMPANY,MI-S-20147,6101 W MAIN ST,KALAMAZOO,MI,49009,KALAMAZOO,42.2536276,-85.57905592494048
"ONE BEER AT A TIME, LLC",BREWERY VIVANT,MI-S-20151,925 SE CHERRY ST SE UNIT 1,GRAND RAPIDS,MI,49506,KENT,43.1777258,-85.2909243
"ONE BEER AT A TIME, LLC",BROAD LEAF BREWERY,MI-S-20168,2885 LAKE EASTBROOK BLVD,KENTWOOD,MI,49512,KENT,43.1777258,-85.2909243
"ROCHESTER MILLS PRODUCTION BREWERY, L.L.C.",,MI-S-20174,3275 LAPEER RD W,AUBURN HILLS,MI,48326,OAKLAND,42.36412165,-83.08849193200862
"BREWERY NYX, LLC",BREWERY NYX,MI-S-20175,506 OAKLAND AVE SW STE A,GRAND RAPIDS,MI,49503,KENT,43.1777258,-85.2909243
"BLIS CAVIAR, L.L.C.",BLIS GOURMET,MI-S-20178,3759 BROADMOOR AVE SE STE C,KENTWOOD,MI,49512,KENT,43.1777258,-85.2909243
"AMALGAMATED CONCOCTIONS, LLC",FULL MEASURE BREWING AND DISTILLING COMPANY,MI-S-20186,2700 ORLEANS ST,DETROIT,MI,48207,WAYNE,42.36412165,-83.08849193200862
"WAR WATER, LLC",WAR WATER BREWERY,MI-S-20190,"201 N RIVERSIDE AVE UNIT 8, 12, 13",ST. CLAIR,MI,48079,ST. CLAIR,42.9988343,-82.4354104
THUMB BREWING CORPORATION,INNOVATION BEERWORKS,MI-S-20149,9264 W SAGINAW RD,RICHVILLE,MI,48758,TUSCOLA,43.5000598,-83.38219912611757
734 BREWING COMPANY INC.,"734 BREWING COMPANY, INC.",MI-S-20150,15 E CROSS ST,YPSILANTI,MI,48198,WASHTENAW,42.3893748,-83.50637874238865
